text,label
난 씹통궈인데홍어새끼들 레알좆같다. 이 개새끼들이 사라져야 지구가 평화로워짐,혐오
씹 돼지년들 적당히를 모르노,혐오
악 이년아 깜빡이 좀 켜고 들어와라 보습짤도 없이 1892년생 한남 무보정 맨와꾸를 올리면 어떡하노,혐오
일베에서 저렇게 생긴 애들이 키부심부리는것임,비혐오
차라리 스님이 되시지 ...,비혐오
근데 이거 진짜 드라마 제목이 뭐냐?ㅋㅋ,비혐오
맘충년들 특징 : 남편씹새끼들이 전부 개씹호구보빨새끼들임,혐오
경남지사 나온 김태호가 원불교라 사드입장 뭐냐는 글 쓰고 5분만에 삭제 당했음.,비혐오
혐오가 당연한 건 없습니다,비혐오
노그네빠는 수꼴틀딱 애미애비뒀노 ㅋㅋㅋㅋ,혐오
헐 예전에 저거보고 와 참.. 제도 병신같은데 사람은 진짜쩌네 생각했는데 그사람이 저사람이었네 ㅅㅂㄷㄷ,혐오
냉장고 없는게이야 니 아싸라매 기만자엿노 언냐도 알고,비혐오
이거 영화제목이머임?,비혐오
페미하는애들특못생기고 바퀴벌레같이생김,혐오
ㅜㅜ 성택이형 아쉽노 쿠데타 거의 눈 앞이었는데,비혐오
와 경규옹 저기 암걸리는거 어떻게 두눈뜨고 봤지ㅋㅋㅋㅋ,비혐오
그놈의 각개전투는 시발,혐오
누가 그 길가래~~~,비혐오
저딴것들이 이 나라의 여성이자 어머니라는 사실이 끔찍하기 그지없다...구역질 나네 씨발년들,혐오
소추 누구냐 돈고충 한마리 있나보넼ㅋㅋㅋ,혐오
같은 세상에서 사는 거 맞나요... 난 진짜 상상이 안되네 이런 일이 벌어질 수 있다는게 믿겨지지가 않습니다..,비혐오
다들표정흑좆나 편안한 쀼젤ㅋㅋㅋz,혐오
속이 다 시원하네땡큐,비혐오
바티칸도 그렇고 외국에 한남이 보낸 메시지는 다 씹히노 ㅋㅋㅋ 하긴 답변할 가치가 없기는 하노,혐오
아니 애비뒤진 창남새끼들 얼마나작으면 12가 평균인데 쒸익쒸익하노,혐오
이미 여성부에서 유치원부터시작해서 고등학교까지 성인지교육을 압박하고 무시하면 불이익을 주고있습니다 공론화 시켜주세요 이건 테러입니다.,혐오
철저하게 비즈니스적으로 보면 보빨이벤트 하는게 좋다 가정의 왠만한 경제적 결정권은 다 마누라한테 있어서장보고 외식하고 그런것도 다 여자가 고르고 소비하니까 이벤트 한다면 이런얘들 위주로 하겠지,혐오
전라도노인일듯,혐오
직업에 맞는 옷 입으라고 하면 되지 논란은 나이 먹은 어른이 더하면서 누굴 가르칠라고해 그리고 원피스가 어째서.. 국회의원 옷 원래 정해진거 없고 깔끔 하기만 하면 된다면서 원피스 이쁘기만.. 호돌갑은,비혐오
그래서 열심히 공부해서 직업이라도 업그레이드 시키려고 한다..,비혐오
와~10.8!!!! 아침부터 욕 나오네! 너거 하나님이 그러라고 시키드나!!!! 너거들이 악마다!!!!,혐오
더러워 시발.,혐오
처질자지도없는 2센치가 동질감느꼇나보노,혐오
향우회는 오래전에 전라도떠났는데 전라도고향끼리 뭉친 그룹이지 가진것도많고 주변에 보면 좀 보임다만 홍어를 극히 피하거나 오더나 콩고물줘도 이권에 개입은 못하게 웃으면서 차단하는듯,혐오
왜 페미니즘 이라는 말과 현상이 생겼는지 우리가 남자들이 한번 진지하게 생각해 봐야 합니다.,비혐오
그냥 아무 말을 하지 않아야 될 듯 하다. 실어증사회로 갑시다.,비혐오
팩폭 지리놐 ㅋㅋㅋㅋ,비혐오
엠창ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 여기 내 아는 누나있다 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ ㄹㅇ어디에도 없고 어디에도 없노....,비혐오
오영훈 얘도 어디 메갈이나 오유같은 사이트에서 자료 긁어온 거야?이 정부 진짜 어디까지 갈려나...?,비혐오
20대라도 와꾸재기하면 아저씨노,혐오
냄죠들 짜고 장난 치는 거 아니냐? 예전에 파맛첵스 사건처럼. 냄져 자기네 와꾸수준 올려치기하려고 수작 부리는 게 참 한남답다이기야,혐오
노렸노존나 웃기네 ㅋㅋㅋ,비혐오
여성비하하는인간도국회의원되여서.ㅋㅋ찍은여자들이멍청한거지.김남국,혐오
ㄴ립니다 ㅠㅡㅠ 제가 이마트 점장한테 직접 들은 사실임. 한쪽에선 먹을 게 넘쳐나서 갖다 버리고 다른 쪽에서는 굶어죽고. 대체 탈북자 단체는 뭘 한 걸까요. 다같이 탈북한 사이에 끼리끼리 좀 챙겨주지 ㅠ.ㅠ,혐오
