text,label
먹토 존나 못해야 턱에 안좋지 ,혐오
이러다 페미 아닌 사람도 페미되겠어 나라 망신시키지 말고 가만히 좀 계세요,혐오
올해의 라인) 이새끼들 다 되버렸어 밥,혐오
늘 사용하는 색상 세일 기념해서 구매했습니다. 발색도 좋고 촉촉해요 유지는 긴 편은 아니라서 수시 가지는 아니지만 그래도 수정화장은 필수,비혐오
전작보다는 모든 부분이 개선되고 발전함 다만 아직 컨텐츠가 아직 부족 플레이를 해봐야 안다고 생각함 특히 코옵이 정말 기대됨,비혐오
울나라 대통령들도 퇴임하면 훼고록 등을 좀 집필해서 발간했으면 좋겠다. 아무도 그런 사람이 없어.,비혐오
뾰루지씨발련아,혐오
.,비혐오
지금 힙갤러들 생각.think,비혐오
"얼마받고 쓴 기사인가요? 당신같으면 내가원하는 색상, 내가원하는 옵션, 아무도 안탄 새차를 살래요? 무슨짓꺼리 한지도 모르고, 내가 원하는 색상도 아니고, 내가 원하는 옵션도 아닌 새차보다 비싼 중고차 살래요? 얼마받은지 모르겠지만 작작좀 하시죠?",혐오
루시드씨발새끼만 아니었어도 울갤의 존재는 영원히 몰랐을텐데 ,혐오
"영등포시장역. 이 역사에 함부로 들어갈 수 없는 유령 승강장이 있다는 소문, 그리고 그 승강장에는 푸른 불빛의 귀신 형체가 돌아다닌다는 괴담이 수년째 이어지고 있는데 사진으로 봤을때 참 무섭습니다. 빨리 사실을 밝혔으면 좋겠습니다.",비혐오
울갤하몀서 가장 웃겻던 글 ,비혐오
"대깨들은 보편적 가치나 진리, 사실의 옳고 그름 따위는 다 필요없고 지들편이 아니면  프레임을 씌워 상대방에게 온갖 폐악짓을 다하는 그런 노ㅁ들이 틀림없다....진짜 저급하고 구제불능한 것들이다. 치료는 불가, 박멸이 답이다.",혐오
오래전이지만 무척이나 찡하게 본 영화였습니다..,비혐오
개서리오지구... 학창시절 1년 길게는 3년 이상도 같은 반이여도 번호도 교환 안 하는 사람들 수두룩하면서,비혐오
머고 씨발ㅋㅋ,혐오
하 이거 재밌어보이는디,비혐오
이래서 코로나 바이러스 96.3프로 투약 3일내 제거하면서 전파도 못 시키게 하는 국산 알약 풀어라 정부넘들아~~만고에 역적이 될끼가 제약사와 함께~~국민 좀 살자#피라맥스#,혐오
ㅅㅂ라고 한거 들은적 있나 썸네일부터 쓰레기네저런 짜깁기 쓰레기 유투버 퇴출시켜야됨,혐오
생산성이 본질이다  노동시간 태워서 일해야지 돈이나오는 후진적구조가 문제...선진국은 일하는 방식과 문화가 우리랑 달라서 조금만 일해도 되는 구조니깐,비혐오
부스터샷?  목표나채우고 아과리좀 털어라,혐오
색감 예쁘고 부드럽게 발리 네오,비혐오
손혜원 여갤러랑잇는거구라래ㅇㅇ발기풀림 ,혐오
대가리가커서우울함 ,혐오
죧같다진심 8출 3연미로 녹고 헬붕이가 666원준게 전부네,혐오
김용사 <<<<<<< 뒷끝 봐 시발 ,혐오
아 생각하니까 줫같네 씨발 ,혐오
디젤 박성웅 닮은 거 같지 않냐?,비혐오
신발 이쁘지,비혐오
10만원주라고병신들아 월요일ㅈ에줄게,혐오
릴보이 개사기네 ㅅㅂ,혐오
mbc와는  인터뷰고 시청이고 관심이고 모두 국물도 없다. 영원히 꺼져 버리는 것이 우리나라 방송문화 발전을 위한 길이다.,혐오
현대바이오 상기하라 발기,혐오
외국은 이제 중국시계라고 본다던데..,비혐오
혹여나 극내치료제두고 외국꺼 안전성 확보안돠고 비싼거 사오면 큰일치룰줄 알아라,비혐오
지금 진짜 존나 머그면 행복할것가튼 음식.... ,비혐오
신뢰회복의 시작은 파괴된 남북연락사무소  원상복구에 있다.   정신차려라 ...!,비혐오
팔든가 말든가 알바아닌데 정부는 공적자금 퍼부은거 책임지고 회수해라 앞으로 더이상 공적자금 퍼넣지말고,비혐오
바이스 벌사 << 개 좆노잼임,혐오
자국에서 못사는 토지거래를 한국에서 하고 자국에서 못 맞는 mRNA 백신을 한국에서 접종받으면 내가 중국놈 이래도 한국에서 터전 잡긋다. 이 미X놈의 나라를 봤나!!,혐오
친구 구인중 ,비혐오
부부의세계 떡두꺼비년 ㅈㄴ발암이네,혐오
손절당함 진짜존나더럽네 아 ,혐오
인상 좋노 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,비혐오
바이스벌사 딜리버리는 은근 ㅈ대네,비혐오
아그냥씨발다좆같다 ,혐오
죽어개씨발련아제발 ,혐오
명박이가 고마워야할  사람 ㅋ,비혐오
븅딱이 만나는꿈,혐오
몸에 돈을 쏱아 부어서 사는데 당연히 저렇게 되지,비혐오
이건좀 무서웠다 ㅎㅎㅎ,비혐오
씨발련들아ㅏㅏㅏㅏ 끝,혐오
스타빛나는사랑! 지금 극장서 보는중! 한국최대의역작 클레멘타인을 뛰어넘는 완성도가 뛰어난 영화! 환희의 연기가 빛나는 영화임! 강력추천합니다!^^회장님:명대사! 그럼나랑 주말에 골프치러 사이판 가는거야?,비혐오
코카이민혁 사클은 존나 조음ㅇㅇ,비혐오
아샌 저년 트짹에 근첩년이었네 ;; ,혐오
고민하다 1플러스1 할 때 구매했는데 진짜 좋아요 가격 안 믿김.. 매트립 좋아해서 진짜 좋았어요 색도 예쁘고ㅠㅠㅠ 막 흔한 색은 아니라서 개꿀,비혐오
좆댓다 반바지입엇는대 춥내 ,혐오
섬뜻함을 잘 살린 세련된 영화라고 생각해요,비혐오
고추사진만 존나올라오네,혐오
가리비랑 함께 주문했는데 지퍼백이 좀 새어서 물이 흘렀지만 키조개는 싱싱했어요.관자는 생각보다 작아서 그렇네요.몇개더 주문할걸 그랬어요.혼자 먹기도 적네요.,비혐오
역운지무현 ㅇㅈㄹㅋㅋㅋㅋㅋㅋ,혐오
저런 것 차고들 다니면?  범죄대상만 될텐데???  밤길들 조심코 다녀라~~~꼬라지들하고는~~~무거워서도 달고 다니겠냐???  에라이,혐오
더럽게 재미없어도 김하늘이 이뻤다면 좀 더 평점을 줘야하는거 아닌가?밑에 OO럼아,혐오
난 힙갤 들어온이유가 블랙넛 이새끼 때문임,혐오
 저렴한 가격 품질 색상 다 좋은 품질입니다 발림성은 맥보다 훨씬 좋아 요나스 나 슈에무라 같은 느낌입니다,비혐오
이쁜데 갈보에 허벌 vs ㅍㅌㅊ인데 핑보,혐오
그 유명한 베니스 국제영화제가 이렇게 오래된 영화제인줄은 몰랐습니다 코로나가 하루 빨리 사라져서 국제영화제가 아무일 없이 안전하게 잘 치러졌으면 좋겠습니다. 우리나라의 훌륭한 영화도 많이 상영되었으면 좋겠습니다.,비혐오
못생긴 놈 년들은 자신이 못생긴 걸 인지 못한다,혐오
 올리브영에 다 품절이던데 여기는 더 저렴한 가격 배송도 빨라서 좋았습니다.,비혐오
