text,label
진짜 점수내기 위한 쇼로 보인다.진짜 박진감있는 무예모습은 1도 없다 왜이리 변질되었을까? 최악이다,혐오
한심하다 ..한심하다..한심하다..,혐오
"남녀 기회의평등 = 페미니스트 였는데, 성차별 주의자 = 페미가 된게 안타깝니다. 페미나 나치나 뭐가 다르냐. 성인지감수성 교육 들으면서 곰탕집 사건이 계속 떠올라 여직원 가능하면 없애는 방면으로 가야겠다는 생각만 들게만들더라. 안부대끼는게 안전하지.",혐오
designated driver 가 한국의 대리운전 하고는 좀 다른것 같은데요. 설명해주실 수 있나요?,비혐오
저사람이 코로나 만든사람일수돜,비혐오
그래 행복해보이네,비혐오
아이거 우리나리도 곧 이래될거닌깐 예행연습삼아 시청하지ㅣ,혐오
백인 이였다면 저렇게 까지 목을 눌렀을까?? 슬프네요 R.I.P.....,비혐오
ㄱㅇ 아니라메 사겼는데 ㄱㅇㄱㄹ인걸 알고 손절,비혐오
니네나라가서기도해,혐오
여자는 약자가 아니다! 근데 힘든일은 남자들이해!  동성애자 차별은 싫어요! 근데 아동성애자는 차별할래요!,혐오
별로 도움이 안되는 완전히 본인만의 견해입니다,비혐오
반드시 막아야 합니다. 차별금지법이 통과한 외국나라의 악영향의 사례들을 더 널리 홍보해야 합니다. 질서가 없는 세상을 자녀들에게 물려주어서는 절대안됩니다. 정신을 차리고 차별금지법을 막아냅시다.,비혐오
"세상권세인 국가도 코로나 환란과 역경에 처한 국민들에게 재난지원금, 손실보상금등등 돌려줬는데 교회는 만나나 메추리알 같은 하늘양식을 내려달라 기도하긴 커녕 주일날 못 모여 헌금 안걷힐까 하는 세상걱정밖에 없지 않았나",혐오
기본적인 인간에 대한 예의가 없는 사람들은 어느 나라에 있으니까 무시하고 한국에서 좋은 추억 만드시길 바랍니다.,비혐오
난민 받고 한미 원자력 협정 개정해,비혐오
이슬람 절대 안된다!!  대구시민 이기세요!!,혐오
주님의 은혜가운데 귀한 사역을 진행해 주시는 국민일보교회건축자문위원단의 위촉을 진심으로 감사드립니다.지난한해 귀한 도움을 받았습니다.올 한해 건승하는 단체되시기를 소망합니디.,비혐오
