text,label
Dua lipa 가 동양물 먹고 못생겨진 얼굴이네요,혐오
하여간 나라망신이다 한남새키들,혐오
키작고 못생긴거 둘이 같네,혐오
일본가서 살면 엄청많이먹게됩니다~~,비혐오
홍사수 김기덕 감독 공통점~딸 가진 아버지~,비혐오
승리 불쨩해.. 공익 가서 개꿀 빨려고 했을텐데 얄짤없이 현역 가게 생겼네 ㅜㅜ,비혐오
태극기 틀딱 개많다ㅋㅋ,혐오
야야 너네 30대때 쟤네 초딩이었어 진짜 도둑도 이런 도둑이 없다,비혐오
정대세때문에 엄청웃었네 추자현 자연스럽게 하는걸 뭐 우효광이 안쓰럽다고 난리치는 사람들도 있네 리얼프론데 가식적으로 하는거본단 편안해 보여서 귀엽기만구만,비혐오
니가 한남충이라서 이해가 가는거야 ㅇ 걸ㄹㄹ레샛기야,혐오
이뇬 인상이 왤케 더럽게 생겼냐 민주당 지지 오늘로서 끝이다.. 나쁜 할망구,혐오
경상도에서 그렇게도 생각한다 모그런 뉘앙스아닌가?,비혐오
방망이를 어따 쑤신거야,비혐오
짱깨에 환장한 에스엠,혐오
강남 엄마들은 중딩 학부모들도 장난없던데. 그엄마들에 비하면 그냥 동네 동생뻘정도 되겠다.,비혐오
ㅎ2ㅇ,비혐오
이런것에 속는 년놈들은 또 뭔가?? 하긴 뭐 종교가 다 썩엇다 개독교부터 캿퉷,혐오
윤여정빼고 김여정으로 바꾸면?,비혐오
ㅋㅋㅋ 정으나 섰냐??ㅋㅋ 통일돼서 남쪽내려오면 이쁜애들많다ㅋㅋ 북한촌년들만보다가 레드벨벳보니까 신세계였을텐데 빨리통일하자ㅋㅋㅋㅋㅋㅋ,혐오
크 트을딱들 적응안되서 부들거리는거 보소 ㅋㅋㅋㅋㅋㅋㅋ,혐오
곧 이혼도 하겠지.,비혐오
범죄자 시끼들 짜져,혐오
이러다 신혜선하고 박시후 결혼얘기 나오는거 아님?,비혐오
민주당 국개당선자들 수준이 영 아니올시다.,혐오
깡패 양아치 새끼 손버릇 고쳐라,혐오
이게나라니? 재앙아?,혐오
보험공단에서 철저히 보완책을 마련해야지 꼰대들이 뭘아나,혐오
하루만 방탄소년단으로 살고싶다.. 그럼 일본 전세계 왕따 만들수 있는데,혐오
수지 부럽네여 이동욱 돈두 많을텐데ㅠ 아무튼 남친도 그렇치만 남자들은 이상해 왜 지들차에 들어가는 300은 아무렇지도 않게 쓰면서 여친 백 사주는 150은 아까워 하나여? 남자들에게 차가 자존심이듯이 여자들에게는 백이 자존심이라고요~~,비혐오
이런게 어디 한두번인가? 대한미국은 또 어떻고. 휴~ 진짜 쪽팔린다.,비혐오
